CATEGORY,使用門號數
文件下載率,23516
換頁點擊來源統計,26454
131 帳單查詢,29196
13211 信用卡繳款結果,33624
36 優惠券,35142
1311 本期帳單查詢,37762
122 門號合約資訊,43268
132 快速繳款,83051
10 新首頁,164563
優惠券成效統計,172065
